"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18096","test_drag_and_drop[chrome]","tests","Wed Oct 22 14:39:51 IST 2025","failed","Wed Oct 22 14:40:09 IST 2025","","test_drag_drop","",""
"","24662","test_dropdown[Blue-chrome]","tests","Wed Oct 22 14:42:13 IST 2025","passed","Wed Oct 22 14:42:38 IST 2025","","test_dropdown","",""
"","28928","test_checkboxes[commands-chrome]","tests","Wed Oct 22 14:38:58 IST 2025","passed","Wed Oct 22 14:39:27 IST 2025","","test_checkbox","",""
"","14816","test_file_upload[edge]","tests","Wed Oct 22 14:43:18 IST 2025","passed","Wed Oct 22 14:43:33 IST 2025","","test_file_upload","",""
"","9505","test_screenshot_demo[chrome]","tests","Wed Oct 22 14:51:30 IST 2025","passed","Wed Oct 22 14:51:40 IST 2025","","test_screenshot","",""
"","17732","test_js_executor[chrome]","tests","Wed Oct 22 14:43:33 IST 2025","passed","Wed Oct 22 14:43:51 IST 2025","","test_js_executor","",""
"","12624","test_radio[no]","tests","Tue Oct 21 18:03:00 IST 2025","passed","Tue Oct 21 18:03:13 IST 2025","","test_radio","",""
"","23396","test_file_upload[chrome]","tests","Wed Oct 22 14:42:55 IST 2025","passed","Wed Oct 22 14:43:18 IST 2025","","test_file_upload","",""
"","24440","test_add_to_cart[firefox]","tests","Wed Oct 22 14:03:04 IST 2025","broken","Wed Oct 22 14:03:29 IST 2025","","test_add_to_cart","",""
"","33450","test_checkboxes[notes-chrome]","tests","Wed Oct 22 14:37:52 IST 2025","passed","Wed Oct 22 14:38:25 IST 2025","","test_checkbox","",""
"","34295","test_login_logout[data0]","tests","Tue Oct 21 18:01:46 IST 2025","passed","Tue Oct 21 18:02:20 IST 2025","","test_login","",""
"","11402","test_signup[data0]","tests","Tue Oct 21 18:03:18 IST 2025","passed","Tue Oct 21 18:03:29 IST 2025","","test_signup","",""
"","24022","test_add_to_cart[chrome]","tests","Wed Oct 22 14:35:55 IST 2025","passed","Wed Oct 22 14:36:19 IST 2025","","test_add_to_cart","",""
"","28301","test_radio[impressive-chrome]","tests","Wed Oct 22 14:47:38 IST 2025","passed","Wed Oct 22 14:48:06 IST 2025","","test_radio","",""
"","24607","test_checkboxes[commands-edge]","tests","Wed Oct 22 14:39:27 IST 2025","passed","Wed Oct 22 14:39:51 IST 2025","","test_checkbox","",""
"","14448","test_login_logout[data1-chrome]","tests","Wed Oct 22 14:45:15 IST 2025","failed","Wed Oct 22 14:45:30 IST 2025","","test_login","",""
"","18633","test_dropdown[Red-edge]","tests","Wed Oct 22 14:40:31 IST 2025","passed","Wed Oct 22 14:40:49 IST 2025","","test_dropdown","",""
"","20464","test_js_executor[edge]","tests","Wed Oct 22 14:43:51 IST 2025","passed","Wed Oct 22 14:44:11 IST 2025","","test_js_executor","",""
"","36942","test_dropdown[Green-edge]","tests","Wed Oct 22 14:41:36 IST 2025","passed","Wed Oct 22 14:42:13 IST 2025","","test_dropdown","",""
"","33502","test_radio[yes-chrome]","tests","Wed Oct 22 14:46:45 IST 2025","passed","Wed Oct 22 14:47:18 IST 2025","","test_radio","",""
"","16021","test_signup[data0-chrome]","tests","Wed Oct 22 14:51:50 IST 2025","passed","Wed Oct 22 14:52:06 IST 2025","","test_signup","",""
