"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18096","test_drag_and_drop[chrome]","tests","2025-10-22","failed","2025-10-22","","test_drag_drop","",""
"","21749","test_radio[impressive-edge]","tests","2025-10-22","passed","2025-10-22","","test_radio","",""
"","33502","test_radio[yes-chrome]","tests","2025-10-22","passed","2025-10-22","","test_radio","",""
"","20632","test_drag_and_drop","tests","2025-10-21","failed","2025-10-21","","test_drag_drop","",""
"","27601","test_checkboxes[notes]","tests","2025-10-21","passed","2025-10-21","","test_checkbox","",""
"","16021","test_signup[data0-chrome]","tests","2025-10-22","passed","2025-10-22","","test_signup","",""
"","47909","test_file_upload","tests","2025-10-21","passed","2025-10-21","","test_file_upload","",""
"","34333","test_broken_links","tests","2025-10-21","passed","2025-10-21","","test_broken_links","",""
"","36942","test_dropdown[Green-edge]","tests","2025-10-22","passed","2025-10-22","","test_dropdown","",""
"","30081","test_multiple_windows[edge]","tests","2025-10-22","passed","2025-10-22","","test_multiple_windows","",""
"","34295","test_login_logout[data0]","tests","2025-10-21","passed","2025-10-21","","test_login","",""
"","47958","test_broken_links[chrome]","tests","2025-10-22","passed","2025-10-22","","test_broken_links","",""
"","28928","test_checkboxes[commands-chrome]","tests","2025-10-22","passed","2025-10-22","","test_checkbox","",""
"","12340","test_signup[data0-edge]","tests","2025-10-22","passed","2025-10-22","","test_signup","",""
"","44943","test_dropdown[Blue]","tests","2025-10-21","passed","2025-10-21","","test_dropdown","",""
"","33450","test_checkboxes[notes-chrome]","tests","2025-10-22","passed","2025-10-22","","test_checkbox","",""
"","2696","test_js_executor[chrome]","","2025-10-22","passed","2025-10-22","","","",""
"","10412","test_screenshot_demo[edge]","tests","2025-10-22","passed","2025-10-22","","test_screenshot","",""
"","18081","test_signup[data1-chrome]","tests","2025-10-22","passed","2025-10-22","","test_signup","",""
"","16543","test_dropdown[Blue-edge]","tests","2025-10-22","passed","2025-10-22","","test_dropdown","",""
"","14448","test_login_logout[data1-chrome]","tests","2025-10-22","failed","2025-10-22","","test_login","",""
"","18135","test_login_logout[data1-edge]","tests","2025-10-22","failed","2025-10-22","","test_login","",""
"","32797","test_checkboxes[commands]","tests","2025-10-21","passed","2025-10-21","","test_checkbox","",""
"","19990","test_radio[no-edge]","tests","2025-10-22","passed","2025-10-22","","test_radio","",""
"","28301","test_radio[impressive-chrome]","tests","2025-10-22","passed","2025-10-22","","test_radio","",""
"","28661","test_login_logout[data0-edge]","tests","2025-10-22","passed","2025-10-22","","test_login","",""
"","35281","test_login_logout[data0-chrome]","tests","2025-10-22","failed","2025-10-22","","test_login","",""
"","152484","test_radio[no-chrome]","tests","2025-10-22","broken","2025-10-22","","test_radio","",""
"","14228","test_dropdown[Green]","tests","2025-10-21","passed","2025-10-21","","test_dropdown","",""
"","9700","test_radio[impressive]","tests","2025-10-21","broken","2025-10-21","","test_radio","",""
"","20464","test_js_executor[edge]","tests","2025-10-22","passed","2025-10-22","","test_js_executor","",""
"","24662","test_dropdown[Blue-chrome]","tests","2025-10-22","passed","2025-10-22","","test_dropdown","",""
"","24607","test_checkboxes[commands-edge]","tests","2025-10-22","passed","2025-10-22","","test_checkbox","",""
"","11402","test_signup[data0]","tests","2025-10-21","passed","2025-10-21","","test_signup","",""
"","15013","test_add_to_cart[edge]","","2025-10-22","passed","2025-10-22","","","",""
"","23396","test_file_upload[chrome]","tests","2025-10-22","passed","2025-10-22","","test_file_upload","",""
"","32269","test_checkboxes[notes-edge]","tests","2025-10-22","passed","2025-10-22","","test_checkbox","",""
"","17732","test_js_executor[chrome]","tests","2025-10-22","passed","2025-10-22","","test_js_executor","",""
"","25185","test_add_to_cart[edge]","tests","2025-10-22","passed","2025-10-22","","test_add_to_cart","",""
"","23622","test_signup[data1-edge]","tests","2025-10-22","passed","2025-10-22","","test_signup","",""
"","14816","test_file_upload[edge]","tests","2025-10-22","passed","2025-10-22","","test_file_upload","",""
"","24022","test_add_to_cart[chrome]","tests","2025-10-22","passed","2025-10-22","","test_add_to_cart","",""
"","24440","test_add_to_cart[firefox]","tests","2025-10-22","broken","2025-10-22","","test_add_to_cart","",""
"","26308","test_multiple_windows[chrome]","tests","2025-10-22","passed","2025-10-22","","test_multiple_windows","",""
"","12624","test_radio[no]","tests","2025-10-21","passed","2025-10-21","","test_radio","",""
"","5124","test_screenshot_demo","tests","2025-10-21","passed","2025-10-21","","test_screenshot","",""
"","17611","test_add_to_cart","tests","2025-10-21","passed","2025-10-21","","test_add_to_cart","",""
"","19571","test_radio[yes-edge]","tests","2025-10-22","passed","2025-10-22","","test_radio","",""
"","21144","test_dropdown[Red-chrome]","tests","2025-10-22","passed","2025-10-22","","test_dropdown","",""
"","27982","test_radio[yes]","tests","2025-10-21","passed","2025-10-21","","test_radio","",""
"","9505","test_screenshot_demo[chrome]","tests","2025-10-22","passed","2025-10-22","","test_screenshot","",""
"","19224","test_broken_links[edge]","tests","2025-10-22","passed","2025-10-22","","test_broken_links","",""
"","37728","test_js_executor","tests","2025-10-21","passed","2025-10-21","","test_js_executor","",""
"","53304","test_dropdown[Red]","tests","2025-10-21","passed","2025-10-21","","test_dropdown","",""
"","18633","test_dropdown[Red-edge]","tests","2025-10-22","passed","2025-10-22","","test_dropdown","",""
"","46956","test_dropdown[Green-chrome]","tests","2025-10-22","passed","2025-10-22","","test_dropdown","",""
